prompt,completion
"Question:
c. Assume the OS is using a lazy allocation policy for memory allocation to processes. On a page fault due to an unmapped physical page(and a valid virtual address), the OS handles the page fault (via allocation and updates to the virtual to physical address mappings in the page table) and then executes the next instruction (the one after the faulting instruction).

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering executes faulting instruction. page fault pc not incremented, false fixing mapping only part operations, and oses page fault handler creates mappings with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: executes faulting instruction. page fault pc not incremented, false fixing mapping only part operations, and oses page fault handler creates mappings) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention executes faulting instruction. page fault pc not incremented, false fixing mapping only part operations, and oses page fault handler creates mappings.

Student Response:
True Rather than allocates some fixed number of pages at the beginning the OS does them in a lazy way.

Please assign a score in {0,1,2}. Output only the number.",0
"Question:
Q1. State TRUE or FALSE and justify. No correct justification, no marks.
e. If a parent process forks a new child process, the exec system call cannot be used in the parent process until the child process terminates.

Rubric:
Score 2 (Correct): States False and provides a correct justification referencing no marks. e. if parent process forks new child process, justify. no correct justification, and q1. state true (e.g., the causal link / mechanism).
Score 1 (Partial): States False OR gives a mostly correct justification, but the explanation is vague, misses the key link, or omits the explicit truth value.
Score 0 (Incorrect): States the wrong truth value or provides an incorrect/irrelevant justification.

Student Response:
False. It's fine if the parent process executes using exec, the ppid of child remains same, and the child copies all necessary info already to its address space.

Please assign a score in {0,1,2}. Output only the number.",2
"Question:
a. List and explain two privileged actions that an user process may attempt to perform and which
are prevented by the OS via the limited-directed execution setup.
Note that the user process has to know specifically how to make such an attempt.
(e.g., the user process does not know that a PCB exists and hence may not know how to
update its contents).

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering write cr3 register modify page directory pointer, access va lies kernel virtual address range, and write eflags registers modify execution status with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: write cr3 register modify page directory pointer, access va lies kernel virtual address range, and write eflags registers modify execution status) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention write cr3 register modify page directory pointer, access va lies kernel virtual address range, and write eflags registers modify execution status.

Student Response:
C6H5
       |
      COOH
       |
      CH2
       |
      COOH

Please assign a score in {0,1,2}. Output only the number.",0
"Question:
To segment the rose petals [4 marks]:

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering narrow range around 0 360 degress, all primary colors pure colors, and broad range around 0.5 with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: narrow range around 0 360 degress, all primary colors pure colors, and broad range around 0.5) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention narrow range around 0 360 degress, all primary colors pure colors, and broad range around 0.5.

Student Response:
a narrow range around 0 degrees for H, broad range around 0.5 for I, around 0.5-1 for S

Please assign a score in {0,1,2}. Output only the number.",2
"Question:
Define Priority Inversion in single line.

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering higher priority process not getting cpu due lower priority process, because lower priority process holds resource, and inversion with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: higher priority process not getting cpu due lower priority process, because lower priority process holds resource, and inversion) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention higher priority process not getting cpu due lower priority process, because lower priority process holds resource, and inversion.

Student Response:
When a low priority task preempts/executes where a high priority task could have run. This usually happens when using locks or semaphores (the low priority task holds some lock which prevents a high priority task from running if that also contends for the same lock)

Please assign a score in {0,1,2}. Output only the number.",2
"Question:
Q1. State TRUE or FALSE and justify. No correct justification, no marks.
c. Without the timer interrupt, the OS has no opportunities to schedule READY processes and share the CPU for multitasking.

Rubric:
Score 2 (Correct): States False and provides a correct justification referencing os has no opportunities schedule ready processes, no marks. c. without timer interrupt, and justify. no correct justification (e.g., the causal link / mechanism).
Score 1 (Partial): States False OR gives a mostly correct justification, but the explanation is vague, misses the key link, or omits the explicit truth value.
Score 0 (Incorrect): States the wrong truth value or provides an incorrect/irrelevant justification.

Student Response:
FALSE. It is possible to do so when all the processes volunteering to give up CPU for non-preemption are using the sched_yield system call. But leaving in non-robust might not allow other processes to run.

Please assign a score in {0,1,2}. Output only the number.",2
"Question:
Q1. State TRUE or FALSE and justify. No correct justification, no marks.
c. Without the timer interrupt, the OS has no opportunities to schedule READY processes and share the CPU for multitasking.

Rubric:
Score 2 (Correct): States False and provides a correct justification referencing os has no opportunities schedule ready processes, no marks. c. without timer interrupt, and justify. no correct justification (e.g., the causal link / mechanism).
Score 1 (Partial): States False OR gives a mostly correct justification, but the explanation is vague, misses the key link, or omits the explicit truth value.
Score 0 (Incorrect): States the wrong truth value or provides an incorrect/irrelevant justification.

Student Response:
FALSE, system calls or other external interrupts too give control back to OS, after which OS can schedule any other process based on its liking.

Please assign a score in {0,1,2}. Output only the number.",2
"Question:
Write any advantage of using TiC/TiN as a tool coating material.

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering write any advantage using tic tin tool coating material, coefficient, and resistance with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: write any advantage using tic tin tool coating material, coefficient, and resistance) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention write any advantage using tic tin tool coating material, coefficient, and resistance.

Student Response:
Helps in increasing the rate of production and improves quality of product surface

Please assign a score in {0,1,2}. Output only the number.",1
"Question:
Q1. State TRUE or FALSE and justify. No correct justification, no marks.
c. A process executing on the CPU is interrupted due to an interrupt. This process is always rescheduled immediately (and control returns back to the paused process) on completion of the interrupt handler to prevent any data loss.

Rubric:
Score 2 (Correct): States False and provides a correct justification referencing completion interrupt handler prevent any data loss, control returns back paused process, and justify. no correct justification (e.g., the causal link / mechanism).
Score 1 (Partial): States False OR gives a mostly correct justification, but the explanation is vague, misses the key link, or omits the explicit truth value.
Score 0 (Incorrect): States the wrong truth value or provides an incorrect/irrelevant justification.

Student Response:
False, If interrupt causes the process to terminate it will not be rescheduled until next again.

Please assign a score in {0,1,2}. Output only the number.",2
"Question:
Write any limitation of PVD method.

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering low ouput, limitation, and difficult with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: low ouput, limitation, and difficult) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention low ouput, limitation, and difficult.

Student Response:
Low deposition rate (slow process)

Please assign a score in {0,1,2}. Output only the number.",0
"Question:
What is the advantage of a nonlinear discriminant function classifier over a linear one?

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering what advantage nonlinear discriminant function classifier over linear one, discriminant, and classifier with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: what advantage nonlinear discriminant function classifier over linear one, discriminant, and classifier) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention what advantage nonlinear discriminant function classifier over linear one, discriminant, and classifier.

Student Response:
Non-linear discriminant function can born data which is not linearly separable by xor.

Please assign a score in {0,1,2}. Output only the number.",1
"Question:
c. Assume the OS is using a lazy allocation policy for memory allocation to processes. On a page fault due to an unmapped physical page(and a valid virtual address), the OS handles the page fault (via allocation and updates to the virtual to physical address mappings in the page table) and then executes the next instruction (the one after the faulting instruction).

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering executes faulting instruction. page fault pc not incremented, false fixing mapping only part operations, and oses page fault handler creates mappings with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: executes faulting instruction. page fault pc not incremented, false fixing mapping only part operations, and oses page fault handler creates mappings) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention executes faulting instruction. page fault pc not incremented, false fixing mapping only part operations, and oses page fault handler creates mappings.

Student Response:
True. Since it is following its allocation
policy, OS handles page fault and
continues with the execution of next instructions. It
doesn't end the process beacuse, its allocation policy
is to allocate when there is page fault.
(more)

Please assign a score in {0,1,2}. Output only the number.",0
"Question:
What is conveyed by the very low eigenvalues with principal component transform applied to high dimensional data?

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering highly corelated some other vector. axes not useful, very low eigen value refers axes, and along data has very low variance with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: highly corelated some other vector. axes not useful, very low eigen value refers axes, and along data has very low variance) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention highly corelated some other vector. axes not useful, very low eigen value refers axes, and along data has very low variance.

Student Response:
Very low eigen values with principal component transform applied to high dimensional data means that we are trying to reduce dimensionality without reducing important dimension, because very low eigenvalues means less important dimension.

Please assign a score in {0,1,2}. Output only the number.",1
"Question:
To segment the green leaves and stem [4 marks]:

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering saturation low, saturation, and intensity with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: saturation low, saturation, and intensity) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention saturation low, saturation, and intensity.

Student Response:
To segment green leaves H should have narrow range around 120

Please assign a score in {0,1,2}. Output only the number.",1
"Question:
What are the critical issues involved in design of an online compression system for space applications?

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering what critical issues involved design online compression system space applications, communication, and applications with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: what critical issues involved design online compression system space applications, communication, and applications) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention what critical issues involved design online compression system space applications, communication, and applications.

Student Response:
The problem is that space aircrafts take a very high resolution image but we to compress the image and then send it to the earth due to downlink bandwidth limitation.

Please assign a score in {0,1,2}. Output only the number.",1
"Question:
Q1. State TRUE or FALSE and justify. No correct justification, no marks.
d. Assuming an user process knows the PID of another task from a pool of several READY processes, it does not have the capability to initiate a context switch and schedule the target process next on the CPU.

Rubric:
Score 2 (Correct): States True and provides a correct justification referencing it does not have capability initiate context switch, schedule target process next cpu, and justify. no correct justification (e.g., the causal link / mechanism).
Score 1 (Partial): States True OR gives a mostly correct justification, but the explanation is vague, misses the key link, or omits the explicit truth value.
Score 0 (Incorrect): States the wrong truth value or provides an incorrect/irrelevant justification.

Student Response:
FALSE

Please assign a score in {0,1,2}. Output only the number.",0
"Question:
c. Assume the OS is using a lazy allocation policy for memory allocation to processes. On a page fault due to an unmapped physical page(and a valid virtual address), the OS handles the page fault (via allocation and updates to the virtual to physical address mappings in the page table) and then executes the next instruction (the one after the faulting instruction).

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering executes faulting instruction. page fault pc not incremented, false fixing mapping only part operations, and oses page fault handler creates mappings with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: executes faulting instruction. page fault pc not incremented, false fixing mapping only part operations, and oses page fault handler creates mappings) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention executes faulting instruction. page fault pc not incremented, false fixing mapping only part operations, and oses page fault handler creates mappings.

Student Response:
False. It executes the faulting instruction again not the one after faulting instruction.

Please assign a score in {0,1,2}. Output only the number.",2
"Question:
To segment the rose petals [4 marks]:

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering narrow range around 0 360 degress, all primary colors pure colors, and broad range around 0.5 with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: narrow range around 0 360 degress, all primary colors pure colors, and broad range around 0.5) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention narrow range around 0 360 degress, all primary colors pure colors, and broad range around 0.5.

Student Response:
Hue: A narrow range around 0/360 degrees
Sat: High value, preferably more than 0.5 or 0.6
Intensity: Can be of varying range for to presence of light and dark areas in petals

Please assign a score in {0,1,2}. Output only the number.",2
"Question:
Q1. State TRUE or FALSE and justify. No correct justification, no marks.
d. Assuming an user process knows the PID of another task from a pool of several READY processes, it does not have the capability to initiate a context switch and schedule the target process next on the CPU.

Rubric:
Score 2 (Correct): States True and provides a correct justification referencing it does not have capability initiate context switch, schedule target process next cpu, and justify. no correct justification (e.g., the causal link / mechanism).
Score 1 (Partial): States True OR gives a mostly correct justification, but the explanation is vague, misses the key link, or omits the explicit truth value.
Score 0 (Incorrect): States the wrong truth value or provides an incorrect/irrelevant justification.

Student Response:
True Scheduling is supposed to be the task of the OS and a privileged operation. So, this functionality shouldn't be available to user-mode programs.

Please assign a score in {0,1,2}. Output only the number.",2
"Question:
Q1. State TRUE or FALSE and justify. No correct justification, no marks.
d. Without the timer interrupt, the OS still has opportunities to schedule READY processes and share the CPU for multitasking

Rubric:
Score 2 (Correct): States True and provides a correct justification referencing os still has opportunities schedule ready processes, no marks. d. without timer interrupt, and justify. no correct justification (e.g., the causal link / mechanism).
Score 1 (Partial): States True OR gives a mostly correct justification, but the explanation is vague, misses the key link, or omits the explicit truth value.
Score 0 (Incorrect): States the wrong truth value or provides an incorrect/irrelevant justification.

Student Response:
TRUE but CPU is not efficient without time interrupt until there is any interrupt or termination in process the process continues to run and other process are in READY state

Please assign a score in {0,1,2}. Output only the number.",1
"Question:
To segment the rose petals [4 marks]:

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering narrow range around 0 360 degress, all primary colors pure colors, and broad range around 0.5 with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: narrow range around 0 360 degress, all primary colors pure colors, and broad range around 0.5) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention narrow range around 0 360 degress, all primary colors pure colors, and broad range around 0.5.

Student Response:
I range should be the full range 0 to 1
Saturatio

Please assign a score in {0,1,2}. Output only the number.",1
"Question:
The appetitive      faculty corresonds to

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering appetitive faculty one 3 divisions soul. it part dealing desires, plato s theory soul, and appetitive with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: appetitive faculty one 3 divisions soul. it part dealing desires, plato s theory soul, and appetitive) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention appetitive faculty one 3 divisions soul. it part dealing desires, plato s theory soul, and appetitive.

Student Response:
Plato's theory of the soul, the appetitive faculty is one of the 3 divisions of the soul. It is the part dealing with desires and passions

Please assign a score in {0,1,2}. Output only the number.",2
"Question:
To segment the rose petals [4 marks]:

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering narrow range around 0 360 degress, all primary colors pure colors, and broad range around 0.5 with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: narrow range around 0 360 degress, all primary colors pure colors, and broad range around 0.5) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention narrow range around 0 360 degress, all primary colors pure colors, and broad range around 0.5.

Student Response:
In HSI model, intensity of red is low so it is between 0 and 1 but somewhat closer to 0 as compared to 1.
Saturation is the purity of colour and as by looking at this image, it looks like it has high saturation because if it was less saturated th

Please assign a score in {0,1,2}. Output only the number.",0
"Question:
Strain is a

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering strain ratio change length original length, original, and strain with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: strain ratio change length original length, original, and strain) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention strain ratio change length original length, original, and strain.

Student Response:
Strain is a deformation defining variablle

Please assign a score in {0,1,2}. Output only the number.",0
"Question:
What approach should be followed to find a reasonable probability distribution for a given time series?

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering distribution, probability, and reasonable with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: distribution, probability, and reasonable) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention distribution, probability, and reasonable.

Student Response:
Detecting the distribution
analysing the distribution
fitting the model
checking goodness of fit

Please assign a score in {0,1,2}. Output only the number.",2
"Question:
Write any limitation of PVD method.

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering low ouput, limitation, and difficult with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: low ouput, limitation, and difficult) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention low ouput, limitation, and difficult.

Student Response:
PVD operates relatively slow

Please assign a score in {0,1,2}. Output only the number.",0
"Question:
Q1. State TRUE or FALSE and justify. No correct justification, no marks.
a. The pipe system call creates two file descriptors fd[0] and fd[1]. Writes using fd[0] can be read using fd[0] or vice-versa (read on fd[1] and write on fd[0]).

Rubric:
Score 2 (Correct): States False and provides a correct justification referencing write can only done fd 1, read can only done fd 0, and justification (e.g., the causal link / mechanism).
Score 1 (Partial): States False OR gives a mostly correct justification, but the explanation is vague, misses the key link, or omits the explicit truth value.
Score 0 (Incorrect): States the wrong truth value or provides an incorrect/irrelevant justification.

Student Response:
False, usage of pipe(pipefd) leads to creation of a pipe - pipefd[0] and pipefd[1] are ends of the pipe which are strictly read end & write end respectively.

Please assign a score in {0,1,2}. Output only the number.",2
"Question:
In case we want to use a single discriminant function to handle a multiclass classification problem, what should be the response of the function when the feature vectors are input to it?

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering what should response function when feature vectors input it, classification, and discriminant with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: what should response function when feature vectors input it, classification, and discriminant) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention what should response function when feature vectors input it, classification, and discriminant.

Student Response:
Ideally the function should output the predicted class directly if we have to handle multiple classes with one function .We cannot output class specific values as many classes are there and no way of giving pressure to one or the other .

Please assign a score in {0,1,2}. Output only the number.",0
"Question:
How is regularized set operation helpful in solid modeling?

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering boundaries defined. no dangling edges. no edges created extra, intersection, and regularized with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: boundaries defined. no dangling edges. no edges created extra, intersection, and regularized) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention boundaries defined. no dangling edges. no edges created extra, intersection, and regularized.

Student Response:
it will be more sense ful to use intersection and union operation with regularisation because it will handle less dimensional object, like if we are oper

Please assign a score in {0,1,2}. Output only the number.",1
"Question:
What is the difference between the performance of a perceptron classifier and a multilayer perceptron classifier when it is about handling the XOR problem?

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering while multilayer perceptron classifier can since it can learn non, can learn only linear features can not solve effectively, and xor not linearly separable. perceptron classifier with accurate details. Must clearly explain the difference between the two concepts.
Score 1 (Partial): Covers some key elements (at least 2 of: while multilayer perceptron classifier can since it can learn non, can learn only linear features can not solve effectively, and xor not linearly separable. perceptron classifier) but lacks clarity or misses essential detail. Mentions both but does not clearly explain the difference.
Score 0 (Incorrect): Does not address the key requirement or fails to mention while multilayer perceptron classifier can since it can learn non, can learn only linear features can not solve effectively, and xor not linearly separable. perceptron classifier. Does not mention or explain the difference.

Student Response:
Functions like the XOR features are not linearly separable and they requise 2 lines to separate the data points. Hence a multilayer perceptron classifier is required to solve this issue instead of using just a single perceptron classifier.

Please assign a score in {0,1,2}. Output only the number.",2
"Question:
What is an orthotropic material ?

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering what orthotropic material, orthotropic, and properties with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: what orthotropic material, orthotropic, and properties) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention what orthotropic material, orthotropic, and properties.

Student Response:
material properties are unique and independent in 3 Mutually perpendicular directions

Please assign a score in {0,1,2}. Output only the number.",2
"Question:
Two      advantages of separating declaration from definition are: .....

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering overriding functions. enhances modularity code. also separates abstraction implementation, easier reader understand. allows easy changing, and code will more clear with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: overriding functions. enhances modularity code. also separates abstraction implementation, easier reader understand. allows easy changing, and code will more clear) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention overriding functions. enhances modularity code. also separates abstraction implementation, easier reader understand. allows easy changing, and code will more clear.

Student Response:
increases the readability of code for programmers and easy debugging as more modularity is shown than previous

makes it easy for new people introduced to program to just know what are the functions in class and values to pass and purpose and need not know about working

Please assign a score in {0,1,2}. Output only the number.",1
"Question:
Q1. State TRUE or FALSE and justify. No correct justification, no marks.
c. Without the timer interrupt, the OS has no opportunities to schedule READY processes and share the CPU for multitasking.

Rubric:
Score 2 (Correct): States False and provides a correct justification referencing os has no opportunities schedule ready processes, no marks. c. without timer interrupt, and justify. no correct justification (e.g., the causal link / mechanism).
Score 1 (Partial): States False OR gives a mostly correct justification, but the explanation is vague, misses the key link, or omits the explicit truth value.
Score 0 (Incorrect): States the wrong truth value or provides an incorrect/irrelevant justification.

Student Response:
False, the OS can schedule the ready processes even without the timer interrupt.

Please assign a score in {0,1,2}. Output only the number.",1
"Question:
State any two reasons for electrical charge on the surface of colloidal particles.

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering cooh groups depending ph medium. imperfection crystal structure, atoms low valency replace silicon reducing positive charge, and adsorption anions onto surface particles with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: cooh groups depending ph medium. imperfection crystal structure, atoms low valency replace silicon reducing positive charge, and adsorption anions onto surface particles) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention cooh groups depending ph medium. imperfection crystal structure, atoms low valency replace silicon reducing positive charge, and adsorption anions onto surface particles.

Student Response:
ions in water,van der wal forces

Please assign a score in {0,1,2}. Output only the number.",0
"Question:
Q1. State TRUE or FALSE and justify. No correct justification, no marks.
d. Assuming an user process knows the PID of another task from a pool of several READY processes, it does not have the capability to initiate a context switch and schedule the target process next on the CPU.

Rubric:
Score 2 (Correct): States True and provides a correct justification referencing it does not have capability initiate context switch, schedule target process next cpu, and justify. no correct justification (e.g., the causal link / mechanism).
Score 1 (Partial): States True OR gives a mostly correct justification, but the explanation is vague, misses the key link, or omits the explicit truth value.
Score 0 (Incorrect): States the wrong truth value or provides an incorrect/irrelevant justification.

Student Response:
True, only OS have the capability to schedule some process.

Please assign a score in {0,1,2}. Output only the number.",2
"Question:
For cooling, the samples from oven or furnace are moved to desiccator primarily to

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering bring down temperature without any type condensation process, moisture addition surrounding, and condensation with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: bring down temperature without any type condensation process, moisture addition surrounding, and condensation) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention bring down temperature without any type condensation process, moisture addition surrounding, and condensation.

Student Response:
To protect chemical that are hygroscopic which react with water in humidity

Please assign a score in {0,1,2}. Output only the number.",1
"Question:
To segment the rose petals [4 marks]:

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering narrow range around 0 360 degress, all primary colors pure colors, and broad range around 0.5 with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: narrow range around 0 360 degress, all primary colors pure colors, and broad range around 0.5) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention narrow range around 0 360 degress, all primary colors pure colors, and broad range around 0.5.

Student Response:
Hue in narrow range around 0 degree for red colour and saturation in broad range around 1 and some petals also have shadows

Please assign a score in {0,1,2}. Output only the number.",1
"Question:
Q1. State TRUE or FALSE and justify. No correct justification, no marks.
a. The pipe system call creates two file descriptors fd[0] and fd[1]. Writes using fd[1] can be read using fd[0] but not vice-versa.

Rubric:
Score 2 (Correct): States True and provides a correct justification referencing write can only done at fd 1, justification, and descriptors (e.g., the causal link / mechanism).
Score 1 (Partial): States True OR gives a mostly correct justification, but the explanation is vague, misses the key link, or omits the explicit truth value.
Score 0 (Incorrect): States the wrong truth value or provides an incorrect/irrelevant justification.

Student Response:
No, because even in the two process there is security provided you cannot access it.

Please assign a score in {0,1,2}. Output only the number.",0
"Question:
Q1. State TRUE or FALSE and justify. No correct justification, no marks.
d. Assuming an user process knows the PID of another task from a pool of several READY processes, it does not have the capability to initiate a context switch and schedule the target process next on the CPU.

Rubric:
Score 2 (Correct): States True and provides a correct justification referencing it does not have capability initiate context switch, schedule target process next cpu, and justify. no correct justification (e.g., the causal link / mechanism).
Score 1 (Partial): States True OR gives a mostly correct justification, but the explanation is vague, misses the key link, or omits the explicit truth value.
Score 0 (Incorrect): States the wrong truth value or provides an incorrect/irrelevant justification.

Student Response:
False, The user process can switch the context from itself to another target process by using the 'SIGCONT' & 'SIGSTOP' signals.

Please assign a score in {0,1,2}. Output only the number.",0
"Question:
Two advantages of using multiple based valuation method are _________________________ and _________________________________

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering market based data reflecting markets growth, risk expectations, and expectations with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: market based data reflecting markets growth, risk expectations, and expectations) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention market based data reflecting markets growth, risk expectations, and expectations.

Student Response:
it captures analysts confidence

Please assign a score in {0,1,2}. Output only the number.",0
"Question:
Two methods of estimating parameters of the probability distribution are

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering method maximum likelihood, method moments, and distribution with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: method maximum likelihood, method moments, and distribution) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention method maximum likelihood, method moments, and distribution.

Student Response:
method of moments ; maximum likelihood

Please assign a score in {0,1,2}. Output only the number.",2
"Question:
To segment the green leaves and stem [4 marks]:

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering saturation low, saturation, and intensity with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: saturation low, saturation, and intensity) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention saturation low, saturation, and intensity.

Student Response:
To segment green leaves,
H -- Narrow range around 120 ( Green has hue of 120)
S -- Close to 1 (Green is primary color and all primary colors are pure colors)
I -- Broad range / Almost full range (This to handle both dark and bright regions of the leaves)

To segment stem,
H -- Broad range/ entire range 
Range in rose petals and green leaves can be subtracted to avoid wrong segmentation i.e., inclusion of dark parts of rose and leaves
S -- Close to 0 (Color of stem is brownish and grey like. So color in RGB will be close to grey axis)
I -- Close to 0 (Most of the stem region is very dark)

Please assign a score in {0,1,2}. Output only the number.",2
"Question:
Two      advantages of separating declaration from definition are: .....

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering overriding functions. enhances modularity code. also separates abstraction implementation, easier reader understand. allows easy changing, and code will more clear with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: overriding functions. enhances modularity code. also separates abstraction implementation, easier reader understand. allows easy changing, and code will more clear) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention overriding functions. enhances modularity code. also separates abstraction implementation, easier reader understand. allows easy changing, and code will more clear.

Student Response:
Separating declaration and definition can make the code look neat and understandable.

Please assign a score in {0,1,2}. Output only the number.",1
"Question:
To segment the rose petals [4 marks]:

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering narrow range around 0 360 degress, all primary colors pure colors, and broad range around 0.5 with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: narrow range around 0 360 degress, all primary colors pure colors, and broad range around 0.5) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention narrow range around 0 360 degress, all primary colors pure colors, and broad range around 0.5.

Student Response:
A narrow range of I centered around 0.33 as R is 1 in red region and others are approximately 0.
Also, it'll have a narrow range of values of H on 0 degree and 360 degrees

Please assign a score in {0,1,2}. Output only the number.",2
